Prediction,Credence,Category,Resolution,Source
Proof that $ \rm{P} = \rm{NP} $ (confirmed by Scott Aaronson),0.01%,Science,FALSE,
Proof that $ \rm{P} \neq \rm{NP} $ (confirmed by Scott Aaronson),0.50%,Science,FALSE,
Average world temperature increases relative to 2020 as measured by NASA (https://climate.nasa.gov/vital-signs/global-temperature/),99%,Science,,
Bitcoin price >$10k,92%,Tech,TRUE,
Bitcoin price >$75k,8%,Tech,FALSE,
Bitcoin price >$100k,4%,Tech,FALSE,
ETH price >$200,91%,Tech,TRUE,
ETH price >$500,68%,Tech,TRUE,
ETH price >$1k,40%,Tech,TRUE,
ETH price >$2k,16%,Tech,TRUE,
ETH price >$5k,5%,Tech,FALSE,
Andrew Yang participates in the primary for the NYC mayoral election,73%,Politics,TRUE,
Conditional on his participation Andrew Yang wins the primary for the NYC mayoral election,35%,Politics,FALSE,
Conditional on winning the primary Andrew Yang wins the NYC mayoral election,90%,Politics,,
"Number of people in the world living in extreme global poverty falls (as measured by https://worldpoverty.io/map) (currently 743,336,050).",95%,World,TRUE,
Enough doses of COVID vaccines to inoculate 100 million people in the US distributed between January 9th and March 31st (as measured by [GJP](https://goodjudgment.io/covid/dashboard/)),8%,COVID,TRUE,
... between April 1st and May 31st (as measured by [GJP](https://goodjudgment.io/covid/dashboard/)),85%,COVID,FALSE,
... between June 1st and July 31st (as measured by [GJP](https://goodjudgment.io/covid/dashboard/)),6%,COVID,FALSE,
... on or after August 1st (as measured by [GJP](https://goodjudgment.io/covid/dashboard/)),1%,COVID,FALSE,
"100 million first doses of COVID vaccines administered in Biden's first 100 days, i.e. by April 31st 2021 (as measured by [this tracker](https://www.bloomberg.com/graphics/covid-vaccine-tracker-global-distribution/) or an alternative if this goes away).",55%,COVID,TRUE,
150 million first doses of COVID vaccine administered by June 1st,55%,COVID,TRUE,
1 million first doses of COVID administered in NY as of February 1st 2021 (as measured by [this tracker](https://www.bloomberg.com/graphics/covid-vaccine-tracker-global-distribution/) or an alternative if this goes away),99%,COVID,TRUE,
"9 million first doses of COVID administered in NY as of June 1st, 2021",35%,COVID,TRUE,
Fewer than 40 million total cases of COVID-in the U.S. will be estimated as of March 31st (as measured by [GJP](https://goodjudgment.io/covid/dashboard/)),1%,COVID,TRUE,https://covid.cdc.gov/covid-data-tracker/#trends_dailycases
Between 40 and 75 million (inclusive) total cases of COVID-in the U.S. will be estimated as of March 31st,1%,COVID,FALSE,
Between 76 and 128 million (inclusive) total cases of COVID-in the U.S. will be estimated as of March 31st,10%,COVID,FALSE,
Between 129 and 200 million (inclusive) total cases of COVID-in the U.S. will be estimated as of March 31st,80%,COVID,FALSE,
More than 200 million total cases of COVID-in the U.S. will be estimated as of March 31st,9%,COVID,FALSE,
"Moderna, Pfizer, or AstraZeneca produce an updated COVID vaccine targeting a mutation in 2021 (as assessed by this Metaculus question)",70%,COVID,TRUE,
