State,Date,New Deaths,7-Day Moving Avg,Historic Deaths
United States,Apr 26 2022,347,299,20
United States,Apr 25 2022,179,309,37
United States,Apr 24 2022,36,335,0
United States,Apr 23 2022,54,336,0
United States,Apr 22 2022,514,332,-227
United States,Apr 21 2022,446,334,178
United States,Apr 20 2022,521,350,0
United States,Apr 19 2022,415,360,-2
United States,Apr 18 2022,364,363,0
United States,Apr 17 2022,39,357,0
United States,Apr 16 2022,29,360,0
United States,Apr 15 2022,528,377,0
United States,Apr 14 2022,555,426,137
United States,Apr 13 2022,596,420,0
United States,Apr 12 2022,430,467,302
United States,Apr 11 2022,324,497,0
United States,Apr 10 2022,61,501,0
United States,Apr  9 2022,151,506,0
United States,Apr  8 2022,868,507,0
United States,Apr  7 2022,510,466,0
United States,Apr  6 2022,930,493,0
United States,Apr  5 2022,641,526,-132
United States,Apr  4 2022,346,537,0
United States,Apr  3 2022,99,585,0
United States,Apr  2 2022,161,583,0
United States,Apr  1 2022,577,585,0
United States,Mar 31 2022,703,611,0
United States,Mar 30 2022,1161,638,0
United States,Mar 29 2022,716,649,0
United States,Mar 28 2022,683,678,0
United States,Mar 27 2022,85,690,0
United States,Mar 26 2022,172,697,0
United States,Mar 25 2022,763,702,0
United States,Mar 24 2022,891,728,0
United States,Mar 23 2022,1238,751,0
United States,Mar 22 2022,919,788,0
United States,Mar 21 2022,762,861,0
United States,Mar 20 2022,134,942,0
United States,Mar 19 2022,207,949,0
United States,Mar 18 2022,950,997,0
United States,Mar 17 2022,1051,1064,0
United States,Mar 16 2022,1494,1093,0
United States,Mar 15 2022,1429,1157,0
United States,Mar 14 2022,1333,1198,-3779
United States,Mar 13 2022,180,1223,0
United States,Mar 12 2022,548,1247,0
United States,Mar 11 2022,1417,1218,0
United States,Mar 10 2022,1252,1236,0
United States,Mar  9 2022,1946,1251,0
United States,Mar  8 2022,1711,1224,0
United States,Mar  7 2022,1510,1260,0
United States,Mar  6 2022,345,1356,0
United States,Mar  5 2022,346,1355,0
United States,Mar  4 2022,1545,1386,0
United States,Mar  3 2022,1355,1497,0
United States,Mar  2 2022,1760,1654,-238
United States,Mar  1 2022,1959,1773,0
United States,Feb 28 2022,2185,1959,0
United States,Feb 27 2022,341,1803,0
United States,Feb 26 2022,558,1835,0
United States,Feb 25 2022,2327,1860,0
United States,Feb 24 2022,2450,1854,0
